rnaseq_symbol	AR	ATF2	BAD	BAG1	BAP1	BCL2	BTG2	CALM1	CALM2	CALM3	CCND1	CD24	CDH1	CDK10	CDKL5	CEACAM5	CXCL10	CXCL12	CXCR3	DRG1	EBAG9	EDF1	ERBB2	ERBB3	ESR1	ESR2	ESRRG	EZH2	FAS	FASLG	FKBP4	FOS	FOXA1	GPER	GRN	HOXB13	HOXB7	IDI2	IGF1R	IL17RB	KRAS	MAPK1	MAPK14	MAPT	MKS1	MT1X	NCOA3	NCOR2	NF1	NRIP1	PAK1	PAWR	PGR	PLAU	PTEN	RAF1	RARG	RRAS2	SERPINE1	SLC7A5	SMC3	SRC	TMPRSS2	TP53	TPM4	UBA3	WNT5A
TCGA-A1-A0SB-01A-11R-A144-07	44.1491	594.6616	490.9742	1087.9423	1932.6501	2536.7722	2246.1989	3256.2225	8692.4203	3251.7175	12257.2182	21217.2542	23535.0828	414.4611	150.4674	2.703	7.208	4505.0118	2.2525	1115.4409	445.9962	2837.2564	6711.5666	4312.1973	860.4573	11.713	351.3909	391.936	286.9693	0.901	2768.3298	10174.1187	535.6459	17.119	7517.0627	0.4505	12.1635	79.2882	3817.0965	404.0996	825.7687	3859.8941	1163.6446	1341.5925	445.5457	932.5374	1451.9653	7341.8178	3795.4725	969.929	1096.5199	396.8915	9.4605	298.5471	2529.1136	2384.5028	1550.6251	633.8552	671.6973	2276.833	1865.5254	780.7185	1728.573	4431.5801	15377.8579	948.7555	48.6541
TCGA-A1-A0SD-01A-11R-A115-07	965.6769	615.9954	568.8562	7259.7668	1612.1082	2010.0901	9769.2499	7335.0426	9437.7636	5295.8399	19531.2216	42527.8306	13113.8864	348.6891	82.7061	2337.2757	558.4319	2146.0591	42.0147	759.2424	579.2738	3315.8548	12986.5189	7369.1175	9728.2276	5.2932	206.4345	190.555	258.374	8.6014	8170.7055	10644.6117	8118.4352	104.2097	7221.9006	36.7215	207.0962	33.4133	9397.403	139.9388	1211.4796	2387.2302	1670.6641	2173.1867	260.6898	372.1777	2083.864	4313.9525	3282.4415	2541.0636	776.1145	455.2146	716.7612	1847.0002	1875.7754	2297.9075	889.9181	363.2454	1297.1632	1047.0598	2062.3604	1728.2276	220.3292	1283.2685	12879.9934	1109.9165	495.5752
TCGA-A1-A0SE-01A-11R-A084-07	1083.0111	642.6985	515.3698	1897.6026	1594.4056	2069.2719	6457.5895	4678.8976	12471.2464	5332.1267	13378.6722	11221.3904	10452.6532	254.0518	141.1765	12.5051	163.225	3600.4936	37.5154	1268.9428	500.2057	3165.7754	9311.0654	13546.6886	4412.0115	7.2398	471.9046	313.6158	222.1308	9.5434	16283.0111	1157.3838	7791.3616	50.3497	5929.0827	0	68.4492	86.2197	6977.211	654.8745	1298.5603	3758.7824	1482.1884	7106.2114	283.3402	1055.0391	1496.339	3530.399	2732.7026	6813.3278	2231.1806	267.8733	7168.0757	1037.1139	1843.5212	1964.6236	1347.9227	190.5389	706.2114	1488.1119	2120.9379	1136.9807	553.8462	1427.5607	17042.2049	1088.9346	828.9593
TCGA-A1-A0SF-01A-11R-A144-07	879.941	311.8778	1058.2126	1538.6115	1189.2484	2044.3419	11440.5178	7150.4843	13252.6649	9742.326	3800.3297	23494.0811	16181.6603	380.8508	20.135	6.4261	415.5515	2540.4333	134.5187	1363.6086	501.2322	4230.4854	7976.8748	12728.7274	7895.9065	8.5681	83.9671	353.433	221.0563	19.7066	10533.159	3957.5923	6637.2568	197.0656	5636.506	4.7124	231.3379	89.9648	5623.6539	73.257	954.9116	2869.0188	999.894	5253.0848	347.8637	1562.8163	1268.9314	3542.8977	1679.7705	1934.2422	1901.6835	144.372	7068.2822	266.8954	2284.2479	1688.7669	1384.6004	188.926	609.6183	439.5421	1884.119	1323.3387	429.6888	1734.6061	18369.9458	851.6663	652.4587
TCGA-A1-A0SG-01A-11R-A144-07	778.3278	455.0446	922.0412	2677.6492	1745.2975	1690.2169	1338.4934	6962.8296	10082.2608	4276.8428	11914.1679	75801.638	11657.2766	280.4428	63.3606	31.6803	128.8813	3095.671	40.6804	1019.1702	957.2496	4074.8807	10661.1466	8172.0817	16508.6851	6.1201	11.8801	155.8816	225.7223	8.6401	10292.1429	2110.3411	5916.6592	55.8006	7931.2393	0	47.8805	68.7607	3545.3155	176.4018	801.368	3116.5512	1370.5337	4010.0801	362.1636	168.4817	1720.8172	3906.0391	2156.4216	2923.2292	486.0049	227.8823	15002.0844	1546.4747	1677.9768	1922.0592	1069.2107	384.4838	1261.0926	1966.6997	1522.0952	1253.5325	204.122	1619.2962	25489.3349	920.8892	145.8015
TCGA-A1-A0SH-01A-11R-A084-07	840.4021	581.8169	799.8122	1647.8455	1446.0551	1232.6139	1515.7575	5652.0385	10310.5461	5493.1313	5316.8889	36331.2311	9711.7551	264.3637	175.5202	36.1153	118.0969	14117.0947	32.8649	1004.7266	600.2357	2310.6545	17990.8177	7003.4716	1288.9537	1.8058	69.3413	129.6538	442.7731	3.2504	3714.8158	686.19	5649.1493	80.537	11070.4112	0	220.3031	33.9483	2649.7768	35.7541	1561.6239	4122.196	1554.0397	594.4572	271.9479	280.2544	1307.3725	7229.5531	3964.3723	1959.6141	1130.7688	520.7821	4629.3084	2414.4894	2747.6491	1919.8873	1260.7838	305.8963	553.647	228.2485	1432.6924	931.4126	62.1183	1228.2801	26944.8746	613.5983	1537.7878
TCGA-A1-A0SI-01A-11R-A144-07	1042.9665	662.4485	803.608	758.6963	1697.4691	449.0877	5512.0659	5080.0471	11188.9347	4790.465	1544.6527	14790.465	10194.8205	278.9876	131.2537	3028.5462	2843.143	7462.3308	142.4367	1144.7911	294.8793	2974.691	4482.9311	6030.9005	4144.4968	8.5344	837.8458	527.369	567.9812	62.0954	2236.6098	5342.5544	5241.6127	45.0265	7274.279	0.2943	319.8941	39.1407	1756.9158	341.3773	907.0041	3271.9247	1554.7381	1929.9588	304.2966	279.2819	1997.0571	4348.146	1564.744	2486.4626	1929.3702	533.8434	327.7369	6014.8793	2901.4126	2386.1095	875.2207	92.7016	1546.2036	945.5562	2082.4014	1408.1813	799.2937	1712.4779	15948.2048	1440.259	1653.0312
TCGA-A1-A0SJ-01A-11R-A084-07	465.6607	529.6754	487.0014	727.4842	1309.5565	3178.7837	5710.471	13126.2917	12546.8679	4783.5391	25027.069	49578.7837	60487.2428	448.4682	105.3498	379.6982	99.8628	2042.2497	19.3873	970.4618	784.2707	2163.6946	9313.946	7384.3621	4684.7737	10.9739	49.7485	240.695	130.9556	3.2922	10213.4431	4592.5926	6376.5889	70.599	7788.203	0.3658	73.8912	68.0384	4294.4673	1829.3553	1398.8112	7298.7654	1365.1578	223.5025	280.2012	921.8107	2530.2241	3225.2401	3993.7814	12520.5304	3869.7759	372.0165	3781.2346	752.8121	1976.0402	2167.3525	767.444	535.5281	2828.7151	3977.3205	1526.1088	3189.0261	342.3868	1088.2487	13233.1047	1283.9506	411.5226
TCGA-A1-A0SK-01A-12R-A084-07	2.2061	786.0069	798.0271	1411.8216	813.1106	5259.6911	583.9899	7541.1283	14848.0933	6543.0192	279.2405	16146.8642	2826.9776	359.5966	46.9587	11.6609	208.6354	137.4094	3.7819	2875.8273	757.9578	3153.7977	303.4983	2589.6628	7.2487	12.6064	85.7233	2470.5326	60.1954	0	22352.6631	677.5922	2010.0851	13.2367	1664.6707	10.0851	42.8616	127.3243	4904.8219	1401.5128	5971.6357	4262.5276	1370.6272	163.8828	300.3467	143.0823	1086.9839	6053.8922	2497.006	838.3234	1986.133	390.167	6.9335	1396.7223	1075.9534	1762.6852	387.3306	209.5808	1205.7989	4303.4983	7620.5484	1906.0826	99.5903	6179.3256	9498.2666	1074.0624	145.9187
TCGA-A1-A0SM-01A-11R-A084-07	307.7652	453.2828	747.6231	1510.1168	1657.8283	371.8434	4244.3182	8348.4848	18572.601	3644.5707	42868.7121	31370.5808	5829.5455	238.0051	67.2348	22357.3232	127.5253	5043.2449	11.048	1253.7879	359.8485	1999.3687	184552.7146	7192.2348	5511.9949	2.5253	235.7955	413.1944	183.3965	2.2096	7465.9091	1958.9646	11650.2525	39.1414	5728.5354	0	86.4899	42.6136	3389.2045	372.4747	1803.0303	3557.1338	1131.9444	432.4495	373.4217	380.6818	1538.8258	4411.9318	1491.4773	2258.5227	6745.8965	478.5354	87.7525	5405.9186	2791.9823	1860.4798	880.3662	628.7879	4945.7071	619.3182	1471.2753	1294.8232	155.9343	1086.8056	13910.0379	1226.9571	917.6136
